Onsite-Prepare for work and commute,On site-Work time,Onsite-Domestic responsibilities,Onsite-Personal and family time,Onsite-Sleep,Remote-Preparing for work and commuting,Remote - Working time,Remote-Domestic responsibilities,Remote-Personal and family time,Remote-Sleep,Remote work with salary cuts
2,6,1,7,8,0,8,1,7,8,No
1.5,8,2,6,6.5,0,10,4,4,6,No
3,8,1,4,8,1,8,2,5,8,Yes
1,8,6,3,6,1,8,4,4,7,No
5,8,2,3,6,50,9,3,4,8,No
3,8,2,3,8,2,8,4,2,8,No
2,8,3,3,8,1,8,3,4,8,No
1.5,8.5,0.5,5.5,8,0.5,9,0.5,5,9,No
1,8,5,2,8,1,7,5,3,8,Yes
1.5,8,0,7.5,7,0.5,8,0,8.5,7,No
2,8,2,4,8,0,8,4,4,8,No
1,8,3,4,8,1,8,3,4,8,No
3,8,2,3,8,0,12,2,2,8,No
2.5,8,2,3.5,8,0,8,3,4,9,No
1,11,2,1,9,0,12,2,2,8,No
3,8,3,2,8,2,8,3,3,8,No
5,5,5,5,4,5,5,5,5,4,No
3,8,3,3,7,1,8,4,3,8,Yes
3,8,3,2,8,1,8,4,3,8,Yes
2.5,8,3,2.5,8,0.5,8,3,4.5,8,No
8,2,1,5,8,2,10,8,2,2,Yes
1,2,5,8,8,1,8,4,3,8,No
2,8,3,3,8,0,8,5,3,8,Yes
1,4,6,6,7,0,4,8,4,8,Yes
2,8,4,4,6,1,8,3,4,8,Yes
1,4,0,11,8,1,4,0,11,8,No
1,8,4,3,8,1,8,4,3,8,No
1,8,3,5,7,2,8,3,3,8,Yes
2,8,2,4,8,2,8,2,6,6,Yes
3.5,7.5,1,2,10,0,9,3,2,10,Yes
1,6,4,6,7,1,7,4.5,4.5,7,No
2,8,1,4,9,1,8,1,6,8,No
2,8,4,2,8,2,8,3,3,8,Yes
2,7,2,6,7,0,9,2,6,7,No
1.5,8,1,6.5,7,0.5,6,1,9.5,7,No
1.5,8.5,2,4,8,0,8.5,2,5.5,8,No
3,8,1,4,8,0,10,1,5,8,No
2,7,4,3,8,2,7,3,4,8,No
2.5,8.5,2,3.5,7.5,0,8.5,2.5,5,8,No
16,3,3,1,1,16,3,3,1,1,Yes
1,8,3,5,7,1,8,3,5,7,No
1,7,1,7,8,1,7,1,7,8,No
4,8,1,4,7,0,10,1.5,4.5,8,No
2,8,2,6,6,1,8,3,4,8,No
0.25,8,2,5,8.75,0,8,3,5,8,No
2,10,2,2,8,0.5,10,2,4,7.5,No
3,9,1,3,8,1,11,1,3,8,No
2,8,3,3,8,3,8,3,2,8,No
2,8,5,3,6,0,10,5,3,6,No
3,7,3,3,8,1,8,4,4,7,No
2,10,2,3,7,1,12,2,4,5,No
10,2,2,2,8,8,2,2,4,8,No
2,8,3,4,7,0,9,4,4,7,No
0,9,4,4,7,0,9,4,4,7,Yes
2,8,3,3,8,2,8,2,4,8,Yes
2,8,2,4,8,0,9,3,4,8,No
3,7,4,3,7,3,7,3,4,7,Yes
3,7,5,2,7,1,6,5,3,9,No
2,8,4,4,6,1,9,4,4,6,No
3,8,3,2,8,0,9,4,3,8,No
1,8,3,5,7,0,8,3,4,9,No
2,9,2,3,8,2,9,3,2,8,No
0,3,4,6,11,0,4,3,6,11,Yes
2,8,2,4,8,0.5,10,2,3.5,8,No
1.5,7.5,2,5,8,0,7.5,2,6.5,8,No
2,8,4,3,7,0.5,7,5,4.5,7,Yes
1,5,5,5,8,0,6,6,5,7,No
2.5,8,2,4,7.5,1.5,8,3,4,7.5,No
3,8,1,4,8,0.5,8,1.5,5,9,Yes
2,9,3,2,8,0.5,10.5,3,2,8,No
2,8,0,5,9,6,8,4,3,3,No
2.5,9,1.5,4,7,0,2,2,13,7,No
0,50,8,7,9,5,0,5,14,0,Yes
2,8,3,4,7,1,9,4,3,7,Yes
3.5,8,4,2.5,6,0.5,8.5,4,5,6,No
2.5,8,3,1,9.5,0,8,4,2,10,No
2,8,2,5,7,0.5,9,2.5,5,7,No
1,8,0,9,6,2,8,4,4,6,No
3,9,1,4,7,0.5,9,1.5,5,8,No
1,7,3,6,7,2,7,4,4,7,No
0,20,0,0,4,0,16,0,0,8,No
6,9,2,2,5,0,12,2,2,8,No
1,12,2,1,8,0.5,12,2,1.5,8,No
3,12,1,2,6,1.5,12,1,2.5,7,Yes
1,7,2,6,8,0,7,3,6,8,Yes
1,8.5,6,2,6.5,0,8,6,3,7,No
3,7,3,5,6,1,7,5,5,6,Yes
0.5,10,3,2,8.5,0,12,2,2,8,Yes
3,7,2,3,9,0,9,3,3,9,No
1,6,5,6,6,1,6,5,6,6,No
1,12,4,0,7,0,8,8,0,8,No
5,5,5,9,50,2,10,2,2,8,Yes
2,8,1,7,6,0,8,1,8,7,No
4,4,5,6,5,4,4,5,5,6,Yes
0,10,2,4,8,0,10,3,3,8,No
1,8,3,4,8,0,8,4,4,8,No
5,6,2,5,6,5,6,7,3,3,No
1.5,7,1.5,6,8,0,6,4,6,8,Yes
1,9,3,3,8,2,10,2,1,9,No
6,4,4,4,6,2.5,2.5,5,6,8,No
2,6,5,3,8,3,6,5,3,7,No
2,6,2,6,8,4,8,2,4,6,Yes
1,8,3,3,9,0,6,4,4,10,Yes
2,8,2,4,8,2,8,2,6,6,Yes
