Response ID,DOB,Gender,Employment Duration,Industry,Profession,No of Employees in organization,Has children,Location,Weekly Remote work time(in %),Preferred weekly Remote work time(in %),Yearly Remote work time(in %),Preferred Yearly Remote work time(in %),Preferred Remote work time post Covid
1,1976,Male,More than 5 years,Other Services,Professionals - ICT Professionals,More than 200,Yes,Metro,50,80,50,80,80
2,1971,Male,More than 5 years,Construction,Professionals - ICT Professionals,More than 200,No,Metro,10,50,5,50,50
3,1978,Female,Less than 1 year,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,100,100,90,90,60
4,1962,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,20-199,Yes,Regional,40,40,40,40,40
5,1974,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Regional,100,100,100,100,100
6,1985,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Construction Trades Workers,5-19,Yes,Metro,50,40,50,50,50
7,1973,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,20-199,Yes,Metro,100,100,80,100,100
8,1992,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,100,100,100,100,90
9,1970,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Yes,Metro,100,100,50,50,50
10,1981,Female,Between 1 and 5 years,Other Services,Professionals - ICT Professionals,More than 200,No,Metro,100,100,90,100,100
11,1980,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,No,Metro,90,80,80,80,90
12,1959,Male,Between 1 and 5 years,Construction,Machinery operators and drivers - Mobile Plant Operators,5-19,Yes,Metro,10,10,10,10,5
13,1992,Female,Less than 1 year,Other Services,Professionals - ICT Professionals,1-4,Yes,Metro,50,50,50,50,50
14,1968,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,50,20,50,20,0
15,1976,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,5-19,No,Metro,80,80,80,70,80
16,1973,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,No,Metro,30,50,10,20,40
17,1972,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Regional,30,10,20,20,20
18,1977,Female,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Regional,20,10,10,5,10
19,1978,Male,More than 5 years,Construction,Managers - Specialist Managers,20-199,Yes,Metro,30,40,20,20,20
